"Book ID","Title","Customer ID","Date of issue","Return Date","Was overdue"
"OL1000000W","","C1007","13.01.2017","23.01.2017","true"
"OL1000001W","","C1007","03.02.2017","21.02.2017","true"
"OL1000002W","","C1008","06.02.2017","20.02.2017","true"
"OL1000002W","","C1003","01.03.2017","12.03.2017","true"
"OL1000002W","","C1010","25.03.2017","09.04.2017","true"
"OL1000004W","","C1008","24.05.2017","",""
"OL1000005W","","C1010","25.05.2017","",""
"OL1000002W","","C1007","26.05.2017","16.06.2017","true"
"OL1000006W","","C1007","26.05.2017","",""
"OL1000004W","","C1007","03.06.2017","11.06.2017","true"
"OL1000005W","","C1007","03.06.2017","",""
"OL1000007W","","C1007","03.06.2017","",""
"OL1000011W","","C1014","15.07.2017","",""
"OL1000013W","","C1016","25.07.2017","",""
"OL1000014W","","C1017","01.08.2017","15.08.2017","true"
"OL1000016W","","C1019","10.08.2017","25.08.2017","true"
"OL1000017W","","C1020","15.08.2017","",""
"OL1000018W","","C1000","20.08.2017","05.09.2017","true"
"OL1000000W","","C1002","01.09.2017","15.09.2017","true"
"OL1000001W","","C1003","05.09.2017","",""
"OL1000002W","","C1004","10.09.2017","25.09.2017","true"
"OL1000004W","","C1006","20.09.2017","05.10.2017","true"
"OL1000005W","","C1007","25.09.2017","",""
"OL1000006W","","C1008","01.10.2017","15.10.2017","true"
"OL1000007W","","C1009","05.10.2017","",""
